[enrich] 995 cases to enrich (skipping 5 already up-to-date)
[1/995] BookMyShow Booking Decline Investigation           ✓ enriched in 150.7s → data/dossiers/3916821b-4473-4826-85ac-cb95878b97c1.json
[239/995] Maine Apples                                       ✗ fetch failed
[240/995] Orrington Office Supplies (OOS)                    ✗ fetch failed
[241/995] Social Costs of a Pothole in Gurgaon               ✗ fetch failed
[242/995] Car Tires (I of I)                                 ✗ fetch failed
[243/995] Bell Computer Inc.                                 ✗ fetch failed
[244/995] Tarrant Fixtures                                   ✗ fetch failed
[245/995] A+ Airline Co.                                     ✗ fetch failed
[246/995] Vindaloo Corporation                               ✗ fetch failed
[247/995] Super Pens (II of II)                              ✗ fetch failed
[248/995] Instamart Dilemma: Integrate or Spin Off           ✗ fetch failed
[249/995] Hospitality Co                                     ✗ fetch failed
[250/995] GoNet Internet Service Provider                    ✗ fetch failed
[251/995] Rock Energy                                        ✗ fetch failed
[252/995] HVAC Service Provider Consolidation                ✗ fetch failed
[253/995] Scaling gradnext - Growth Strategy                 ✗ fetch failed
[254/995] Ant Financial's Rural Strategy: Providing Inclusiv ✗ fetch failed
[255/995] Case Interview Frameworks and Clarifying Questions ✗ fetch failed
[256/995] DigiBooks Inc.                                     ✗ fetch failed
[257/995] Health Coaches                                     ✗ fetch failed
[258/995] Salty Sole Shoe Co.                                ✗ fetch failed
[259/995] Argentinean Bank                                   ✗ fetch failed
[260/995] Mokobara's Strategic Entry into the Malaysian Mark ✗ fetch failed
[261/995] Plastic World                                      ✗ fetch failed
[262/995] Software Product (I of IV)                         ✗ fetch failed
[263/995] Salesforce Efficiency Framework Analysis           ✗ fetch failed
[264/995] Gift Wrapping Paper                                ✗ fetch failed
[265/995] Money Bank Call Center                             ✗ fetch failed
[266/995] Healthy Foods Co.                                  ✗ fetch failed
[267/995] Thompson Healthcare                                ✗ fetch failed
[268/995] Super Pens (I of II)                               ✗ fetch failed
[269/995] Beyond Vehicles: Revenue Diversification Playbook  ✗ fetch failed
[270/995] Titleist Golf Balls - Malawi Market Entry          ✗ fetch failed
[271/995] Beer Industry Profit Decline                       ✗ fetch failed
[272/995] Sunco, Financial Services                          ✗ fetch failed
[273/995] Multi-Purpose Tool (II of II)                      ✗ fetch failed
[274/995] Ant Financial Internationalization Strategy        ✗ fetch failed
[275/995] ABC Conglomerate                                   ✗ fetch failed
[276/995] Case Interview Approach Guide                      ✗ fetch failed
[277/995] Sony Group Corporation Stock Acquisition Rights an ✗ fetch failed
[278/995] Grocery Deli Company                               ✗ fetch failed
[279/995] Pharmaceutical Distribution (II of II)             ✗ fetch failed
[280/995] Asian Paints Home Improvement Diversification      ✗ fetch failed
[281/995] Oncology Firm                                      ✗ fetch failed
[282/995] Chem Co. (1)                                       ✗ fetch failed
[283/995] Travel IT Disruption (2)                           ✗ fetch failed
[284/995] CASE 1                                             ✗ fetch failed
[285/995] Major Magazine Publisher                           ✗ fetch failed
[286/995] Pricing Strategy for Regulus Solar Power Inc.      ✗ fetch failed
[287/995] IIM A Consult Prep Book 2020-21                    ✗ fetch failed
[288/995] Ubisoft Executive Compensation Policy (FY26)       ✗ fetch failed
[289/995] JCL Carpets (3)                                    ✗ fetch failed
[290/995] Termite Control (IV of V)                          ✗ fetch failed
[291/995] Admedi Co.                                         ✗ fetch failed
[292/995] JCL Carpets (2)                                    ✗ fetch failed
[293/995] Termite Control                                    ✗ fetch failed
[294/995] Ant Financial (A) - Strategy and Regulatory Naviga ✗ fetch failed
[295/995] Bain & Company Interview Cases (Priyal Motwani)    ✗ fetch failed
[296/995] Polyethylene Resin Case                            ✗ fetch failed
[297/995] Fishing Company                                    ✗ fetch failed
[298/995] Traditional Kitchen Company Digital Disruption     ✗ fetch failed
[299/995] Revenue Growth                                     ✗ fetch failed
[300/995] MIMO Technology (3) - Market Sizing                ✗ fetch failed
[301/995] IT Conglomerate Attrition Case                     ✗ fetch failed
[302/995] MIMO Technology (4)                                ✗ fetch failed
[303/995] Coffee Vending Machine                             ✗ fetch failed
[304/995] Unicloth                                           ✗ fetch failed
[305/995] Fast Food Loyalty Program Profitability            ✗ fetch failed
[306/995] Fast Food Loyalty (1)                              ✗ fetch failed
[307/995] Total Landed Cost                                  ✗ fetch failed
[308/995] Retailer Discounting (II of II)                    ✗ fetch failed
[309/995] Burger Chain Profitability                         ✗ fetch failed
[310/995] HealthCo Market Entry                              ✗ fetch failed
[311/995] Bid Strategy for GOT Season 8                      ✗ fetch failed
[312/995] Asset Holding Company Divestment                   ✗ fetch failed
[313/995] Federal Motors                                     ✗ fetch failed
[314/995] Chicago Parking Meter Case                         ✗ fetch failed
[315/995] No. of Petrol Pumps in Bangalore                   ✗ fetch failed
[316/995] Tractor Company                                    ✗ fetch failed
[317/995] Refinery Expansion Project                         ✗ fetch failed
[318/995] Eye Surgery Equipment Manufacturer M&A             ✗ fetch failed
[319/995] Estimate the revenue of a typical post office in I ✗ fetch failed
[320/995] eNP & Co – Retail Company                          ✗ fetch failed
[321/995] Cost Assumptions                                   ✗ fetch failed
[322/995] Credit Card Company Profitability                  ✗ fetch failed
[323/995] Business in Mumbai and the life of an FE           ✗ fetch failed
[324/995] Estimate the number of heaters sold in India in 20 ✗ fetch failed
[325/995] Clothing Chain Goes Global and Local               ✗ fetch failed
[326/995] Ubisoft Universal Registration Document 2022-23    ✗ fetch failed
[327/995] Ubisoft Financial Statements Excerpt               ✗ fetch failed
[328/995] Ubisoft Share Capital and Ownership Structure      ✗ fetch failed
